loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,purpose,addr_state,dti,delinq_2yrs,revol_util,total_acc,bad_loan,longest_credit_length,verification_status
1000,36 months,9.64,0,RENT,5000,debt_consolidation,IN,18,0,26,7,good,3,not verified
25000,36 months,9.64,2,RENT,48000,debt_consolidation,IN,9.78,0,12.7,39,good,7,not verified
22550,36 months,15.96,4,MORTGAGE,34992,debt_consolidation,IN,20.82,1,48.9,22,good,18,not verified
2975,36 months,9.96,0,RENT,25000,debt_consolidation,IN,14.16,0,33.7,9,good,5,not verified
11300,36 months,12.17,8,RENT,33600,debt_consolidation,IN,23.96,0,49,15,good,8,not verified
10000,36 months,11.22,8,MORTGAGE,30000,other,IN,20.4,0,0,9,good,9,not verified
3000,36 months,11.86,2,MORTGAGE,36153,debt_consolidation,IN,7.47,0,70.9,6,good,7,not verified
5100,36 months,8.38,4,RENT,32000,vacation,IN,14.78,0,23.9,22,good,12,not verified
5300,36 months,8.38,7,MORTGAGE,74000,credit_card,IN,14.37,0,14.4,29,good,15,not verified
12500,36 months,10.91,2,OWN,36000,debt_consolidation,IN,12.27,0,53.3,15,bad,4,not verified
10000,36 months,10.59,0,RENT,25000,debt_consolidation,IN,10.22,0,95,17,good,7,not verified
7200,36 months,14.38,7,MORTGAGE,53000,major_purchase,IN,15.65,0,74.7,17,bad,5,not verified
2000,36 months,12.8,1,RENT,20000,debt_consolidation,IN,2.58,2,23.1,7,bad,5,not verified
7500,36 months,11.22,0,RENT,20000,debt_consolidation,IN,5.46,0,50.7,10,bad,3,not verified
7000,36 months,14.38,10,RENT,30000,debt_consolidation,IN,4.04,0,53.2,5,bad,1,not verified
6250,36 months,17.54,0,RENT,35000,debt_consolidation,IN,19.85,0,58.7,32,bad,15,not verified
1800,36 months,14.07,1,RENT,10192,credit_card,IN,5.06,0,97.5,4,good,2,not verified
1000,36 months,12.49,1,RENT,32000,credit_card,IN,5.21,4,16.7,27,good,7,not verified
2600,36 months,14.38,10,OWN,42000,other,IN,16.91,4,52.4,28,bad,15,not verified
15000,60 months,16.99,1,MORTGAGE,83740,credit_card,IN,25.19,0,70.8,31,good,30,verified
8000,36 months,11.99,1,MORTGAGE,103000,car,IN,14.19,1,16.4,26,good,24,verified
8000,36 months,10.99,8,MORTGAGE,60000,debt_consolidation,IN,5.86,0,49,15,good,12,not verified
15000,36 months,6,10,MORTGAGE,62000,credit_card,IN,20.36,0,58.1,20,good,8,not verified
20000,36 months,13.98,10,RENT,70000,credit_card,IN,12.03,0,63.8,21,bad,16,verified
10000,36 months,9.67,9,MORTGAGE,32760,debt_consolidation,IN,9.56,0,34.9,16,good,16,not verified
31300,60 months,19.97,8,MORTGAGE,75000,debt_consolidation,IN,10.62,0,34.1,50,bad,19,verified
20350,36 months,20.5,3,MORTGAGE,68000,debt_consolidation,IN,20.7,0,78.5,44,bad,13,verified
28000,60 months,19.22,8,MORTGAGE,106000,debt_consolidation,IN,20.73,0,47.5,43,good,13,verified
15000,36 months,14.47,5,MORTGAGE,55000,debt_consolidation,IN,25.07,0,65,30,good,18,not verified
14675,36 months,13.98,NA,RENT,35000,debt_consolidation,IN,18.62,1,77.7,35,bad,21,verified
12000,36 months,15.61,10,MORTGAGE,40000,debt_consolidation,IN,9.09,0,98.9,14,good,14,verified
10000,36 months,22.9,10,MORTGAGE,63000,other,IN,24.57,0,65.4,27,good,14,not verified
18000,36 months,13.53,10,MORTGAGE,59000,credit_card,IN,20.67,0,79.9,15,bad,14,not verified
18725,36 months,13.53,9,RENT,48000,debt_consolidation,IN,26.9,1,57.2,43,bad,12,verified
1200,36 months,19.22,10,MORTGAGE,135000,other,IN,24.04,1,82.1,48,good,38,not verified
25000,36 months,7.62,10,MORTGAGE,75000,debt_consolidation,IN,19.07,0,51.3,36,good,20,verified
